Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Albany,Weekly,"2021-01-11 00:00:00",Conventional,1.249703960,139381.50,7084.53,103323.43,39.59,28933.96,,,
Albany,Weekly,"2021-01-11 00:00:00",Organic,1.456758223,3811.16,233.48,411.40,0.00,3166.28,,,
Atlanta,Weekly,"2021-01-11 00:00:00",Conventional,0.848775871,821376.66,473723.52,152847.77,33.47,194771.90,,,
Atlanta,Weekly,"2021-01-11 00:00:00",Organic,1.468739357,33873.48,1527.91,18605.21,0.00,13740.36,,,
Baltimore/Washington,Weekly,"2021-01-11 00:00:00",Conventional,1.197576935,978456.49,202303.10,366361.42,3261.63,406530.34,,,
Baltimore/Washington,Weekly,"2021-01-11 00:00:00",Organic,1.326821393,76797.05,1269.50,5348.52,3.46,70175.58,,,
Birmingham/Montgomery,Weekly,"2021-01-11 00:00:00",Conventional,0.776649851,372158.38,239946.78,18558.25,10.39,113642.96,,,
Birmingham/Montgomery,Weekly,"2021-01-11 00:00:00",Organic,1.169759354,11484.59,122.42,863.48,0.00,10498.70,,,
Boise,Weekly,"2021-01-11 00:00:00",Conventional,1.031148786,140272.15,57903.02,34200.91,15139.88,33028.34,,,
Boise,Weekly,"2021-01-11 00:00:00",Organic,1.651448679,6069.24,1362.80,2631.64,0.00,2074.80,,,
Boston,Weekly,"2021-01-11 00:00:00",Conventional,1.300577011,680682.33,23724.94,486276.92,108.91,170571.56,,,
Boston,Weekly,"2021-01-11 00:00:00",Organic,1.650184983,42280.55,370.44,3003.49,0.00,38906.62,,,
Buffalo/Rochester,Weekly,"2021-01-11 00:00:00",Conventional,1.020786727,220455.13,23052.91,67125.00,2599.24,127677.98,,,
Buffalo/Rochester,Weekly,"2021-01-11 00:00:00",Organic,1.523223774,20530.24,1017.84,140.26,0.00,19366.58,,,
California,Weekly,"2021-01-11 00:00:00",Conventional,1.131132230,6933636.02,2487590.96,2113745.96,954529.23,1377769.87,,,
California,Weekly,"2021-01-11 00:00:00",Organic,1.828896463,324138.96,122547.30,57816.71,34.25,143740.69,,,
Charlotte,Weekly,"2021-01-11 00:00:00",Conventional,0.937352536,393021.48,178532.48,52191.19,3711.58,158586.22,,,
Charlotte,Weekly,"2021-01-11 00:00:00",Organic,1.470396581,20164.52,6368.23,4166.49,36.70,9593.10,,,
Chicago,Weekly,"2021-01-11 00:00:00",Conventional,1.205333637,891277.22,191371.15,286035.18,146246.36,267624.53,,,
Chicago,Weekly,"2021-01-11 00:00:00",Organic,1.835762033,44454.71,9711.04,15615.56,0.00,19128.12,,,
Cincinnati/Dayton,Weekly,"2021-01-11 00:00:00",Conventional,0.915203925,330304.24,125444.92,163436.30,3557.95,37865.07,,,
Cincinnati/Dayton,Weekly,"2021-01-11 00:00:00",Organic,1.573441561,13240.54,960.47,9146.76,0.00,3133.32,,,
Columbus,Weekly,"2021-01-11 00:00:00",Conventional,0.901320930,258287.65,104317.59,103238.45,434.31,50297.29,,,
Columbus,Weekly,"2021-01-11 00:00:00",Organic,1.585021179,11112.21,1293.15,6307.60,0.00,3511.46,,,
"Dallas/Ft. Worth",Weekly,"2021-01-11 00:00:00",Conventional,0.614553898,1892013.46,789713.20,412538.01,11756.32,678005.92,,,
