Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
"Dallas/Ft. Worth",Weekly,"2021-01-11 00:00:00",Organic,1.293286333,62323.39,20949.76,3102.65,9491.15,28779.82,,,
Denver,Weekly,"2021-01-11 00:00:00",Conventional,0.960187870,1145006.13,311036.54,520312.36,21924.76,291732.47,,,
Denver,Weekly,"2021-01-11 00:00:00",Organic,1.240458086,52938.57,37427.33,2083.85,0.00,13427.40,,,
Detroit,Weekly,"2021-01-11 00:00:00",Conventional,0.972102065,476150.10,159459.64,145681.05,54273.22,116736.19,,,
Detroit,Weekly,"2021-01-11 00:00:00",Organic,1.160722346,27031.46,829.91,8425.11,0.00,17776.44,,,
"Grand Rapids",Weekly,"2021-01-11 00:00:00",Conventional,1.329433920,192895.17,17848.60,55506.23,67753.38,51786.96,,,
"Grand Rapids",Weekly,"2021-01-11 00:00:00",Organic,1.176532047,8005.54,26.71,1363.48,0.00,6615.35,,,
"Great Lakes",Weekly,"2021-01-11 00:00:00",Conventional,0.999618309,4278271.58,1299619.36,1546226.27,388119.97,1044305.99,,,
"Great Lakes",Weekly,"2021-01-11 00:00:00",Organic,1.492594690,179136.52,25858.17,60582.97,0.00,92695.38,,,
Harrisburg/Scranton,Weekly,"2021-01-11 00:00:00",Conventional,1.024925000,383042.83,142159.20,115574.09,78.09,125231.45,,,
Harrisburg/Scranton,Weekly,"2021-01-11 00:00:00",Organic,1.205478042,21687.20,268.67,487.03,0.00,20931.49,,,
Hartford/Springfield,Weekly,"2021-01-11 00:00:00",Conventional,1.263777344,377565.46,10769.46,274781.38,242.39,91772.24,,,
Hartford/Springfield,Weekly,"2021-01-11 00:00:00",Organic,1.557723156,26419.98,526.94,6971.27,5.93,18915.84,,,
Houston,Weekly,"2021-01-11 00:00:00",Conventional,0.661128075,1334321.15,637942.57,409701.43,10719.69,275957.47,,,
Houston,Weekly,"2021-01-11 00:00:00",Organic,1.467454204,16306.53,12342.91,506.63,0.00,3456.99,,,
Indianapolis,Weekly,"2021-01-11 00:00:00",Conventional,0.857395434,272659.60,90794.92,114321.01,2285.88,65257.79,,,
Indianapolis,Weekly,"2021-01-11 00:00:00",Organic,1.345812979,9334.74,318.59,4068.25,0.00,4947.90,,,
Jacksonville,Weekly,"2021-01-11 00:00:00",Conventional,0.827976132,242887.87,161803.93,8687.40,90.54,72306.00,,,
Jacksonville,Weekly,"2021-01-11 00:00:00",Organic,1.131253886,11198.34,67.92,268.37,0.00,10862.05,,,
"Las Vegas",Weekly,"2021-01-11 00:00:00",Conventional,0.862944828,426908.82,104977.76,178853.97,61.37,143015.72,,,
"Las Vegas",Weekly,"2021-01-11 00:00:00",Organic,1.515002156,17405.65,7386.52,3053.96,0.00,6965.18,,,
"Los Angeles",Weekly,"2021-01-11 00:00:00",Conventional,1.160064078,3229247.73,1303121.25,454239.58,714953.05,756933.85,,,
"Los Angeles",Weekly,"2021-01-11 00:00:00",Organic,1.808338157,136507.49,64924.32,27426.24,9.81,44147.12,,,
Louisville,Weekly,"2021-01-11 00:00:00",Conventional,0.937209133,138784.23,45634.70,54755.58,47.06,38346.89,,,
Louisville,Weekly,"2021-01-11 00:00:00",Organic,1.610983849,6084.18,221.69,4429.58,0.00,1432.90,,,
"Miami/Ft. Lauderdale",Weekly,"2021-01-11 00:00:00",Conventional,0.847359619,1036239.69,715051.55,38839.91,127.53,282217.30,,,
"Miami/Ft. Lauderdale",Weekly,"2021-01-11 00:00:00",Organic,1.037946298,46953.70,395.12,1352.51,0.00,45206.07,,,
Midsouth,Weekly,"2021-01-11 00:00:00",Conventional,0.957639408,4327422.22,1715607.58,1158378.91,14246.50,1439189.22,,,
Midsouth,Weekly,"2021-01-11 00:00:00",Organic,1.334651300,266695.00,36789.32,56903.39,183.15,172819.14,,,
Nashville,Weekly,"2021-01-11 00:00:00",Conventional,0.823557570,325706.01,166687.18,68082.45,178.00,90758.39,,,
Nashville,Weekly,"2021-01-11 00:00:00",Organic,1.452333071,16696.51,508.06,9077.79,0.00,7110.65,,,
"New Orleans/Mobile",Weekly,"2021-01-11 00:00:00",Conventional,0.705855023,370573.61,195761.09,26170.69,55.86,148585.97,,,
"New Orleans/Mobile",Weekly,"2021-01-11 00:00:00",Organic,1.017596628,14060.77,606.93,0.00,0.00,13453.84,,,
"New York",Weekly,"2021-01-11 00:00:00",Conventional,1.110223846,2040411.24,69004.52,1283349.33,994.97,687062.42,,,
"New York",Weekly,"2021-01-11 00:00:00",Organic,1.362821657,171885.12,11148.56,14910.59,18.65,145807.32,,,
Northeast,Weekly,"2021-01-11 00:00:00",Conventional,1.125231960,5885133.33,538916.20,3478976.43,7497.32,1859743.38,,,
Northeast,Weekly,"2021-01-11 00:00:00",Organic,1.432052613,402480.80,23261.71,33818.51,25.84,345369.10,,,
"Northern New England",Weekly,"2021-01-11 00:00:00",Conventional,1.125147920,536667.79,15839.15,422234.93,66.84,98526.87,,,
"Northern New England",Weekly,"2021-01-11 00:00:00",Organic,1.794609081,18415.05,2096.36,719.63,0.00,15599.05,,,
Orlando,Weekly,"2021-01-11 00:00:00",Conventional,0.794393193,630789.99,394124.33,15722.95,140.22,220802.49,,,
Orlando,Weekly,"2021-01-11 00:00:00",Organic,1.029252164,30005.57,88.87,250.95,0.00,29665.75,,,
Peoria/Springfield,Weekly,"2021-01-11 00:00:00",Conventional,0.851025767,140676.70,58899.36,42152.99,406.26,39218.08,,,
Peoria/Springfield,Weekly,"2021-01-11 00:00:00",Organic,1.524457674,4149.30,241.14,1335.77,0.00,2572.39,,,
Philadelphia,Weekly,"2021-01-11 00:00:00",Conventional,0.957952951,706745.55,134497.30,293624.68,294.48,278329.09,,,
Philadelphia,Weekly,"2021-01-11 00:00:00",Organic,1.390065724,39753.21,2330.34,4738.39,0.00,32684.48,,,
Phoenix/Tucson,Weekly,"2021-01-11 00:00:00",Conventional,0.716029124,1460208.39,704383.69,560798.40,4204.08,190822.21,,,
Phoenix/Tucson,Weekly,"2021-01-11 00:00:00",Organic,1.289396146,39214.68,10841.30,10209.95,0.00,18163.43,,,
Pittsburgh,Weekly,"2021-01-11 00:00:00",Conventional,1.126135955,126323.80,60031.17,22885.55,17.38,43389.69,,,
Pittsburgh,Weekly,"2021-01-11 00:00:00",Organic,1.357903112,12369.04,2774.28,1.41,0.00,9593.35,,,
Plains,Weekly,"2021-01-11 00:00:00",Conventional,0.929343282,2192987.52,965811.43,581928.16,3761.06,641486.87,,,
Plains,Weekly,"2021-01-11 00:00:00",Organic,1.374687990,52136.03,14670.86,2612.45,13.74,34838.98,,,
Portland,Weekly,"2021-01-11 00:00:00",Conventional,1.023060638,777330.90,314545.62,338213.75,29786.35,94785.18,,,
Portland,Weekly,"2021-01-11 00:00:00",Organic,1.785658855,42287.76,7640.67,29745.64,0.00,4901.45,,,
Providence,Weekly,"2021-01-11 00:00:00",Conventional,1.384932353,92706.08,3674.72,70632.24,32.38,18366.74,,,
Providence,Weekly,"2021-01-11 00:00:00",Organic,1.691682618,4782.54,64.78,11.70,0.00,4706.06,,,
Raleigh/Greensboro,Weekly,"2021-01-11 00:00:00",Conventional,0.899504841,511021.18,236259.96,74169.97,3736.28,196854.97,,,
Raleigh/Greensboro,Weekly,"2021-01-11 00:00:00",Organic,1.463213963,25173.89,10230.74,4112.94,82.39,10747.81,,,
Richmond/Norfolk,Weekly,"2021-01-11 00:00:00",Conventional,0.915929678,354489.85,137985.79,128661.72,709.99,87132.34,,,
Richmond/Norfolk,Weekly,"2021-01-11 00:00:00",Organic,1.046260409,31119.70,4366.94,4096.63,4.38,22651.76,,,
Roanoke,Weekly,"2021-01-11 00:00:00",Conventional,0.861180319,205318.88,92906.86,64927.96,42.67,47441.37,,,
Roanoke,Weekly,"2021-01-11 00:00:00",Organic,1.177967947,13461.40,941.90,4453.53,0.00,8065.98,,,
Sacramento,Weekly,"2021-01-11 00:00:00",Conventional,1.106734614,569247.00,169913.99,283024.90,9322.94,106985.18,,,
Sacramento,Weekly,"2021-01-11 00:00:00",Organic,1.806883271,21408.86,5935.22,3336.37,0.00,12137.28,,,
"San Diego",Weekly,"2021-01-11 00:00:00",Conventional,1.242149057,559769.76,174432.24,170413.80,103668.18,111255.54,,,
"San Diego",Weekly,"2021-01-11 00:00:00",Organic,1.838938017,33251.81,10879.43,7697.76,7.16,14667.45,,,
"San Francisco",Weekly,"2021-01-11 00:00:00",Conventional,1.061754065,1048886.04,285671.66,602239.05,16053.21,144922.13,,,
"San Francisco",Weekly,"2021-01-11 00:00:00",Organic,1.823293303,76694.03,21395.86,8586.94,9.40,46701.83,,,
Seattle,Weekly,"2021-01-11 00:00:00",Conventional,1.156956560,727566.53,260636.93,375139.66,4403.07,87386.86,,,
Seattle,Weekly,"2021-01-11 00:00:00",Organic,2.001362928,57249.87,7530.67,39999.77,5.62,9713.81,,,
"South Carolina",Weekly,"2021-01-11 00:00:00",Conventional,0.884289761,558947.55,298464.81,71946.38,1151.44,187384.92,,,
"South Carolina",Weekly,"2021-01-11 00:00:00",Organic,1.371181310,27405.09,5438.51,5476.31,112.69,16377.58,,,
"South Central",Weekly,"2021-01-11 00:00:00",Conventional,0.649363771,6844256.51,3425107.93,1298213.09,94112.96,2026497.81,,,
"South Central",Weekly,"2021-01-11 00:00:00",Organic,1.195334645,209686.28,47270.74,12566.32,49464.05,100385.17,,,
Southeast,Weekly,"2021-01-11 00:00:00",Conventional,0.824368822,5796849.64,3657595.32,447080.80,2165.73,1690003.74,,,
Southeast,Weekly,"2021-01-11 00:00:00",Organic,1.149331936,247939.42,9444.63,34234.52,127.96,204132.31,,,
Spokane,Weekly,"2021-01-11 00:00:00",Conventional,0.933757187,104046.68,41807.43,42390.65,32.26,19816.33,,,
Spokane,Weekly,"2021-01-11 00:00:00",Organic,1.863992155,5013.43,1190.12,2949.57,0.00,873.73,,,
"St. Louis",Weekly,"2021-01-11 00:00:00",Conventional,0.830822545,253713.75,150346.87,32201.66,86.53,71078.70,,,
"St. Louis",Weekly,"2021-01-11 00:00:00",Organic,1.797381640,6561.40,2076.34,916.92,0.00,3568.14,,,
Syracuse,Weekly,"2021-01-11 00:00:00",Conventional,1.112929559,98787.39,9569.71,44491.17,860.59,43865.92,,,
Syracuse,Weekly,"2021-01-11 00:00:00",Organic,1.576451484,5682.57,388.26,154.41,0.00,5139.90,,,
Tampa,Weekly,"2021-01-11 00:00:00",Conventional,0.812633477,639913.95,426288.40,20611.60,24.26,192989.69,,,
Tampa,Weekly,"2021-01-11 00:00:00",Organic,0.908717199,29880.27,101.84,161.70,0.00,29616.74,,,
Toledo,Weekly,"2021-01-11 00:00:00",Conventional,0.865161970,149116.36,47915.22,60262.43,8562.26,32376.46,,,
Toledo,Weekly,"2021-01-11 00:00:00",Organic,1.490035973,4889.85,248.34,2695.64,0.00,1945.87,,,
"Total U.S.",Weekly,"2021-01-11 00:00:00",Conventional,0.933211738,44276152.54,17304201.06,13663445.76,1607898.67,11700268.10,,,
"Total U.S.",Weekly,"2021-01-11 00:00:00",Organic,1.437020910,2051330.59,403201.87,380520.18,74455.66,1193147.24,,,
West,Weekly,"2021-01-11 00:00:00",Conventional,0.894543081,8017595.72,3213952.29,3038896.14,143465.91,1621271.20,,,
West,Weekly,"2021-01-11 00:00:00",Organic,1.484651266,369117.59,123359.13,121985.31,24606.67,99166.48,,,
"West Tex/New Mexico",Weekly,"2021-01-11 00:00:00",Conventional,0.692908102,952716.84,433788.46,162980.21,15438.33,340400.69,,,
"West Tex/New Mexico",Weekly,"2021-01-11 00:00:00",Organic,1.026776102,93619.76,19653.34,7897.30,49507.87,16561.26,,,
Wichita,Weekly,"2021-01-11 00:00:00",Conventional,0.751380544,119451.88,62976.39,24106.00,22.41,32347.07,,,
Wichita,Weekly,"2021-01-11 00:00:00",Organic,1.380788128,3497.01,2511.54,10.94,0.00,974.53,,,
Albany,Weekly,"2021-01-17 00:00:00",Conventional,1.282429484,137768.36,6765.93,104405.50,35.19,26561.74,,,
Albany,Weekly,"2021-01-17 00:00:00",Organic,1.528297276,3612.42,360.56,372.95,0.00,2878.91,,,
Atlanta,Weekly,"2021-01-17 00:00:00",Conventional,0.846346364,840318.57,471688.18,147104.03,55.09,221471.27,,,
Atlanta,Weekly,"2021-01-17 00:00:00",Organic,1.592872040,34340.43,206.44,19543.36,0.00,14590.62,,,
Baltimore/Washington,Weekly,"2021-01-17 00:00:00",Conventional,1.149737145,1087764.90,271579.00,410020.56,3771.12,402394.22,,,
Baltimore/Washington,Weekly,"2021-01-17 00:00:00",Organic,1.290549041,78718.92,1522.54,6999.34,3.45,70193.58,,,
Birmingham/Montgomery,Weekly,"2021-01-17 00:00:00",Conventional,0.794386630,363390.16,221569.55,17973.24,25.57,123821.79,,,
Birmingham/Montgomery,Weekly,"2021-01-17 00:00:00",Organic,1.211355276,12070.29,63.32,1109.57,0.00,10897.39,,,
Boise,Weekly,"2021-01-17 00:00:00",Conventional,1.017556804,140556.04,54050.69,43104.13,12732.58,30668.64,,,
Boise,Weekly,"2021-01-17 00:00:00",Organic,1.585661798,5998.73,1285.36,2869.57,0.00,1843.80,,,
Boston,Weekly,"2021-01-17 00:00:00",Conventional,1.261541082,764873.05,27185.69,479448.03,148.32,258091.01,,,
Boston,Weekly,"2021-01-17 00:00:00",Organic,1.667918582,41199.18,334.80,2705.56,0.00,38158.82,,,
Buffalo/Rochester,Weekly,"2021-01-17 00:00:00",Conventional,1.035947385,230743.72,26992.17,66723.80,2727.89,134299.86,,,
Buffalo/Rochester,Weekly,"2021-01-17 00:00:00",Organic,1.545667468,16917.29,977.88,88.97,0.00,15840.43,,,
California,Weekly,"2021-01-17 00:00:00",Conventional,1.217652952,6594093.93,2384659.71,1906523.98,898351.13,1404559.11,,,
California,Weekly,"2021-01-17 00:00:00",Organic,1.830606909,342964.76,122261.66,68585.33,8.43,152109.34,,,
Charlotte,Weekly,"2021-01-17 00:00:00",Conventional,1.056597596,359627.15,159373.05,56664.73,3801.09,139788.28,,,
Charlotte,Weekly,"2021-01-17 00:00:00",Organic,1.461281140,19814.15,6638.53,3819.62,21.95,9334.04,,,
Chicago,Weekly,"2021-01-17 00:00:00",Conventional,1.130687918,1055990.92,166616.78,508305.62,145036.23,236032.29,,,
Chicago,Weekly,"2021-01-17 00:00:00",Organic,1.765424705,45530.07,12745.90,13596.51,0.00,19187.66,,,
Cincinnati/Dayton,Weekly,"2021-01-17 00:00:00",Conventional,0.926256899,355767.87,98721.35,219803.14,3069.44,34173.94,,,
Cincinnati/Dayton,Weekly,"2021-01-17 00:00:00",Organic,1.619207663,16290.01,605.79,13314.64,0.00,2369.59,,,
Columbus,Weekly,"2021-01-17 00:00:00",Conventional,0.839926953,297436.58,112119.71,141067.52,444.43,43804.91,,,
Columbus,Weekly,"2021-01-17 00:00:00",Organic,1.582345908,11800.00,1675.15,6911.09,0.00,3213.75,,,
"Dallas/Ft. Worth",Weekly,"2021-01-17 00:00:00",Conventional,0.713213032,1543758.81,795394.30,323154.92,16134.51,409075.07,,,
"Dallas/Ft. Worth",Weekly,"2021-01-17 00:00:00",Organic,1.420182493,52379.98,15720.45,4609.60,2048.88,30001.04,,,
Denver,Weekly,"2021-01-17 00:00:00",Conventional,0.898312027,1228945.50,384911.23,579204.42,16231.67,248598.19,,,
Denver,Weekly,"2021-01-17 00:00:00",Organic,1.379514377,39145.60,25946.52,1764.98,0.00,11434.11,,,
Detroit,Weekly,"2021-01-17 00:00:00",Conventional,0.899236805,626281.29,151595.68,234281.97,147570.88,92832.76,,,
Detroit,Weekly,"2021-01-17 00:00:00",Organic,1.469876749,18921.04,1425.09,10780.87,0.00,6715.08,,,
"Grand Rapids",Weekly,"2021-01-17 00:00:00",Conventional,1.001784480,291492.34,18799.01,91318.63,147448.10,33926.59,,,
"Grand Rapids",Weekly,"2021-01-17 00:00:00",Organic,1.376880687,6040.39,28.38,1013.35,0.00,4998.66,,,
"Great Lakes",Weekly,"2021-01-17 00:00:00",Conventional,0.941156888,5119426.34,1221986.06,2266904.02,708390.57,922145.69,,,
"Great Lakes",Weekly,"2021-01-17 00:00:00",Organic,1.565380396,174387.05,33168.08,66110.00,0.00,75108.96,,,
Harrisburg/Scranton,Weekly,"2021-01-17 00:00:00",Conventional,1.004959923,419150.95,152880.72,118686.78,120.90,147462.55,,,
Harrisburg/Scranton,Weekly,"2021-01-17 00:00:00",Organic,1.231652622,20833.40,814.72,519.55,0.00,19499.13,,,
Hartford/Springfield,Weekly,"2021-01-17 00:00:00",Conventional,1.217015141,392060.95,11425.82,283228.46,165.78,97240.89,,,
Hartford/Springfield,Weekly,"2021-01-17 00:00:00",Organic,1.726571047,22383.98,1495.43,6552.45,0.00,14336.10,,,
Houston,Weekly,"2021-01-17 00:00:00",Conventional,0.760452051,1130654.81,618301.93,297798.87,4794.69,209759.32,,,
Houston,Weekly,"2021-01-17 00:00:00",Organic,1.640973286,14659.90,10310.61,728.63,0.00,3620.66,,,
Indianapolis,Weekly,"2021-01-17 00:00:00",Conventional,0.848291003,313819.46,80876.78,167630.80,1821.44,63490.43,,,
Indianapolis,Weekly,"2021-01-17 00:00:00",Organic,1.411871980,10474.25,169.17,6104.13,0.00,4200.95,,,
Jacksonville,Weekly,"2021-01-17 00:00:00",Conventional,0.824781122,241056.64,151408.97,10264.79,77.74,79305.13,,,
Jacksonville,Weekly,"2021-01-17 00:00:00",Organic,1.151109486,11190.01,82.49,225.42,0.00,10882.10,,,
"Las Vegas",Weekly,"2021-01-17 00:00:00",Conventional,0.928170380,384429.99,100119.49,145536.92,81.59,138691.98,,,
"Las Vegas",Weekly,"2021-01-17 00:00:00",Organic,1.556179267,17441.05,7362.06,3121.55,0.00,6957.43,,,
"Los Angeles",Weekly,"2021-01-17 00:00:00",Conventional,1.135754366,3271220.18,1312477.36,526189.08,677207.73,755346.01,,,
"Los Angeles",Weekly,"2021-01-17 00:00:00",Organic,1.779609431,144943.41,63158.98,35075.75,5.60,46703.08,,,
Louisville,Weekly,"2021-01-17 00:00:00",Conventional,0.953511678,136935.76,42078.24,53992.47,38.86,40826.20,,,
Louisville,Weekly,"2021-01-17 00:00:00",Organic,1.958620787,5687.24,108.36,4290.00,0.00,1288.89,,,
"Miami/Ft. Lauderdale",Weekly,"2021-01-17 00:00:00",Conventional,0.846459026,1090661.17,751075.67,43614.58,109.91,295860.32,,,
"Miami/Ft. Lauderdale",Weekly,"2021-01-17 00:00:00",Organic,1.020047607,47947.07,256.11,1295.08,0.00,46395.88,,,
Midsouth,Weekly,"2021-01-17 00:00:00",Conventional,1.000981726,4298397.74,1665210.45,1189751.43,15066.69,1428369.18,,,
Midsouth,Weekly,"2021-01-17 00:00:00",Organic,1.368223967,268973.77,39348.80,58027.75,146.80,171450.43,,,
Nashville,Weekly,"2021-01-17 00:00:00",Conventional,0.840056568,318620.41,166758.07,51780.48,7.30,100074.57,,,
Nashville,Weekly,"2021-01-17 00:00:00",Organic,1.588601988,16600.04,586.43,8559.20,0.00,7454.41,,,
"New Orleans/Mobile",Weekly,"2021-01-17 00:00:00",Conventional,0.725570133,376502.38,205209.15,30868.60,104.13,140320.50,,,
"New Orleans/Mobile",Weekly,"2021-01-17 00:00:00",Organic,1.003013776,12663.82,387.17,156.03,0.00,12120.62,,,
"New York",Weekly,"2021-01-17 00:00:00",Conventional,1.088374745,2164236.72,74468.17,1307395.72,838.36,781534.47,,,
"New York",Weekly,"2021-01-17 00:00:00",Organic,1.476149682,149704.68,22269.42,18185.73,10.52,109239.02,,,
Northeast,Weekly,"2021-01-17 00:00:00",Conventional,1.110053101,6228458.13,618172.49,3506558.41,7392.15,2096335.08,,,
Northeast,Weekly,"2021-01-17 00:00:00",Organic,1.521676213,360020.07,42746.35,37782.12,10.65,279470.80,,,
"Northern New England",Weekly,"2021-01-17 00:00:00",Conventional,1.125189622,553072.59,19515.70,420985.65,84.95,112486.29,,,
"Northern New England",Weekly,"2021-01-17 00:00:00",Organic,1.818500218,17579.59,2096.09,619.88,0.00,14863.61,,,
Orlando,Weekly,"2021-01-17 00:00:00",Conventional,0.797882184,634348.85,369670.48,16723.41,80.67,247874.29,,,
Orlando,Weekly,"2021-01-17 00:00:00",Organic,1.028691702,29671.64,111.88,237.30,0.00,29322.45,,,
Peoria/Springfield,Weekly,"2021-01-17 00:00:00",Conventional,0.833800761,157657.54,52690.38,63445.77,528.95,40992.44,,,
Peoria/Springfield,Weekly,"2021-01-17 00:00:00",Organic,1.525268074,3838.56,127.91,1344.79,0.00,2365.86,,,
Philadelphia,Weekly,"2021-01-17 00:00:00",Conventional,1.005636553,690991.70,141432.48,290188.57,362.78,259007.86,,,
Philadelphia,Weekly,"2021-01-17 00:00:00",Organic,1.546944864,34826.08,4956.20,5464.10,0.00,24405.78,,,
Phoenix/Tucson,Weekly,"2021-01-17 00:00:00",Conventional,0.750906954,1421175.59,899524.92,318800.76,4491.54,198358.36,,,
Phoenix/Tucson,Weekly,"2021-01-17 00:00:00",Organic,1.298599179,37770.22,9309.63,9982.04,0.00,18478.56,,,
Pittsburgh,Weekly,"2021-01-17 00:00:00",Conventional,0.936594881,161179.69,96239.91,20532.93,34.16,44372.70,,,
Pittsburgh,Weekly,"2021-01-17 00:00:00",Organic,1.283494270,13645.61,4547.13,0.00,0.00,9098.48,,,
Plains,Weekly,"2021-01-17 00:00:00",Conventional,0.870930084,2248109.80,947208.63,645582.88,3053.44,652264.86,,,
Plains,Weekly,"2021-01-17 00:00:00",Organic,1.328390594,52457.77,13286.59,2960.67,27.55,36182.94,,,
Portland,Weekly,"2021-01-17 00:00:00",Conventional,0.920866873,894086.96,331037.55,365327.61,34691.40,163030.41,,,
Portland,Weekly,"2021-01-17 00:00:00",Organic,1.608733589,45360.98,5085.34,35480.04,0.00,4795.61,,,
Providence,Weekly,"2021-01-17 00:00:00",Conventional,1.304400617,106876.60,3844.39,70294.76,31.31,32706.14,,,
Providence,Weekly,"2021-01-17 00:00:00",Organic,1.666399126,5174.87,22.53,10.41,0.00,5141.94,,,
Raleigh/Greensboro,Weekly,"2021-01-17 00:00:00",Conventional,0.992442106,462982.94,207399.66,76532.23,3966.46,175084.59,,,
Raleigh/Greensboro,Weekly,"2021-01-17 00:00:00",Organic,1.473325132,24791.58,10359.09,4107.52,69.40,10255.57,,,
Richmond/Norfolk,Weekly,"2021-01-17 00:00:00",Conventional,1.014495625,328956.05,114260.52,122399.83,787.68,91508.02,,,
Richmond/Norfolk,Weekly,"2021-01-17 00:00:00",Organic,1.117262871,32410.42,5742.56,3876.83,2.19,22788.84,,,
Roanoke,Weekly,"2021-01-17 00:00:00",Conventional,0.928081067,205506.03,87557.55,67218.70,33.12,50696.66,,,
Roanoke,Weekly,"2021-01-17 00:00:00",Organic,1.264622685,13983.82,1134.86,4483.84,0.00,8365.12,,,
Sacramento,Weekly,"2021-01-17 00:00:00",Conventional,1.294036774,515252.79,152154.16,243024.85,7924.87,112148.90,,,
Sacramento,Weekly,"2021-01-17 00:00:00",Organic,1.770672389,22081.77,5886.19,2610.74,0.00,13584.84,,,
"San Diego",Weekly,"2021-01-17 00:00:00",Conventional,1.216612761,566986.53,188367.79,168990.22,96068.41,113560.12,,,
"San Diego",Weekly,"2021-01-17 00:00:00",Organic,1.874964692,35833.79,10935.95,10209.86,0.00,14687.98,,,
"San Francisco",Weekly,"2021-01-17 00:00:00",Conventional,1.481348181,841423.48,221596.08,446217.67,15970.34,157639.38,,,
"San Francisco",Weekly,"2021-01-17 00:00:00",Organic,1.869659388,81047.86,23100.49,8165.64,1.34,49780.39,,,
Seattle,Weekly,"2021-01-17 00:00:00",Conventional,1.154358435,696686.64,221862.71,395134.14,3786.25,75903.53,,,
Seattle,Weekly,"2021-01-17 00:00:00",Organic,1.738038602,80668.26,12365.47,57061.39,5.62,11235.79,,,
"South Carolina",Weekly,"2021-01-17 00:00:00",Conventional,0.924063917,551497.54,295303.78,72683.69,1379.98,182130.10,,,
"South Carolina",Weekly,"2021-01-17 00:00:00",Organic,1.396349292,27374.49,4825.52,5285.69,101.61,17161.66,,,
"South Central",Weekly,"2021-01-17 00:00:00",Conventional,0.704934351,6367155.55,3530980.36,1070304.57,116540.63,1648787.51,,,
