Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Jacksonville,Weekly,"2022-01-10 00:00:00",Conventional,1.344749154,189103.14,132954.27,7796.64,1309.13,47043.11,,,
Jacksonville,Weekly,"2022-01-10 00:00:00",Organic,1.028262744,28087.88,6965.22,189.22,0.00,20933.43,,,
"Las Vegas",Weekly,"2022-01-10 00:00:00",Conventional,1.076235059,402382.24,134955.34,149672.15,1211.52,116543.23,,,
"Las Vegas",Weekly,"2022-01-10 00:00:00",Organic,1.560452544,13662.33,5733.43,1408.40,0.00,6520.50,,,
"Los Angeles",Weekly,"2022-01-10 00:00:00",Conventional,1.290102908,2944376.40,1632359.10,112412.89,420379.10,779225.31,,,
"Los Angeles",Weekly,"2022-01-10 00:00:00",Organic,1.900139142,108675.26,58863.06,10207.58,0.00,39604.63,,,
Louisville,Weekly,"2022-01-10 00:00:00",Conventional,0.966046543,140685.51,84547.96,23009.94,624.12,32503.48,,,
Louisville,Weekly,"2022-01-10 00:00:00",Organic,1.579712462,6647.52,7.73,5594.63,0.00,1045.17,,,
"Miami/Ft. Lauderdale",Weekly,"2022-01-10 00:00:00",Conventional,1.282692216,835694.19,577068.53,36687.66,6381.14,215554.61,,,
"Miami/Ft. Lauderdale",Weekly,"2022-01-10 00:00:00",Organic,0.989202721,131141.12,25347.68,873.43,0.00,104920.01,,,
Midsouth,Weekly,"2022-01-10 00:00:00",Conventional,1.109998585,4258740.96,2099638.20,754748.00,34611.56,1369743.20,,,
Midsouth,Weekly,"2022-01-10 00:00:00",Organic,1.523644349,263964.26,5144.50,56451.43,76.01,202292.32,,,
Nashville,Weekly,"2022-01-10 00:00:00",Conventional,1.127943959,300328.11,177816.77,40806.49,1315.19,80389.67,,,
Nashville,Weekly,"2022-01-10 00:00:00",Organic,1.537018020,17574.85,95.20,8538.69,0.00,8940.96,,,
"New Orleans/Mobile",Weekly,"2022-01-10 00:00:00",Conventional,1.002085576,304295.55,152139.10,23299.17,1754.53,127102.75,,,
"New Orleans/Mobile",Weekly,"2022-01-10 00:00:00",Organic,1.244575711,16806.69,1650.46,48.82,0.00,15107.42,,,
"New York",Weekly,"2022-01-10 00:00:00",Conventional,1.456452873,1772616.91,457242.53,682661.58,7927.86,624784.92,,,
"New York",Weekly,"2022-01-10 00:00:00",Organic,1.631921639,150828.11,14008.27,9946.32,1.55,126871.96,,,
Northeast,Weekly,"2022-01-10 00:00:00",Conventional,1.372054216,5344837.06,1555150.44,2057775.74,23766.77,1708144.12,,,
Northeast,Weekly,"2022-01-10 00:00:00",Organic,1.679671234,356320.05,28104.32,25454.39,4.52,302756.83,,,
"Northern New England",Weekly,"2022-01-10 00:00:00",Conventional,1.286336156,477727.78,199586.59,185377.64,649.40,92114.14,,,
"Northern New England",Weekly,"2022-01-10 00:00:00",Organic,1.980351373,17324.50,2622.74,708.60,0.00,13993.16,,,
Orlando,Weekly,"2022-01-10 00:00:00",Conventional,1.264175268,460655.74,307158.59,11372.98,7057.15,135067.01,,,
Orlando,Weekly,"2022-01-10 00:00:00",Organic,0.932677464,97298.82,14612.34,179.55,0.00,82506.93,,,
Peoria/Springfield,Weekly,"2022-01-10 00:00:00",Conventional,0.976167116,126945.17,70276.07,23278.05,517.87,32873.18,,,
Peoria/Springfield,Weekly,"2022-01-10 00:00:00",Organic,1.556921547,3442.70,10.44,1156.95,0.00,2275.31,,,
Philadelphia,Weekly,"2022-01-10 00:00:00",Conventional,1.142931371,672109.23,247525.22,152252.00,4613.69,267718.31,,,
Philadelphia,Weekly,"2022-01-10 00:00:00",Organic,1.632593291,37590.76,2939.40,2833.88,0.00,31817.47,,,
Phoenix/Tucson,Weekly,"2022-01-10 00:00:00",Conventional,0.879197548,1308406.24,791904.74,293389.97,33836.25,189275.28,,,
Phoenix/Tucson,Weekly,"2022-01-10 00:00:00",Organic,1.508277797,30700.23,14577.16,3143.89,0.00,12979.18,,,
Pittsburgh,Weekly,"2022-01-10 00:00:00",Conventional,1.315400262,124050.23,73792.50,8948.96,992.25,40316.52,,,
Pittsburgh,Weekly,"2022-01-10 00:00:00",Organic,1.548204702,8441.68,1819.23,5.24,0.00,6617.21,,,
Plains,Weekly,"2022-01-10 00:00:00",Conventional,1.209205233,1734639.67,737519.56,404234.19,47502.99,545066.87,,,
Plains,Weekly,"2022-01-10 00:00:00",Organic,1.550231694,50822.64,13304.57,4224.67,83.69,33209.71,,,
Portland,Weekly,"2022-01-10 00:00:00",Conventional,1.319362024,639097.85,276504.11,218775.40,31264.43,112553.92,,,
Portland,Weekly,"2022-01-10 00:00:00",Organic,2.036839319,39434.54,20658.53,14004.41,0.00,4771.59,,,
Providence,Weekly,"2022-01-10 00:00:00",Conventional,1.571374758,91797.23,17061.94,57555.17,306.16,16873.95,,,
Providence,Weekly,"2022-01-10 00:00:00",Organic,1.799968687,4923.44,37.54,45.28,0.00,4840.62,,,
Raleigh/Greensboro,Weekly,"2022-01-10 00:00:00",Conventional,1.114974393,450293.32,213100.03,79656.22,7005.87,150531.20,,,
Raleigh/Greensboro,Weekly,"2022-01-10 00:00:00",Organic,1.422738748,32746.62,761.19,3620.13,19.46,28345.84,,,
Richmond/Norfolk,Weekly,"2022-01-10 00:00:00",Conventional,1.016439401,364032.68,208223.05,68283.63,2238.58,85287.42,,,
Richmond/Norfolk,Weekly,"2022-01-10 00:00:00",Organic,1.423508812,20957.38,143.43,3487.14,1.09,17325.73,,,
Roanoke,Weekly,"2022-01-10 00:00:00",Conventional,0.965083589,213998.35,132995.68,34610.21,519.36,45873.10,,,
Roanoke,Weekly,"2022-01-10 00:00:00",Organic,1.485851947,10907.07,22.27,3806.84,0.00,7077.96,,,
Sacramento,Weekly,"2022-01-10 00:00:00",Conventional,1.339894556,466209.39,120250.42,230318.12,8825.40,106815.44,,,
Sacramento,Weekly,"2022-01-10 00:00:00",Organic,1.908236088,21236.33,5585.56,4045.48,0.00,11605.29,,,
"San Diego",Weekly,"2022-01-10 00:00:00",Conventional,1.294013968,553746.81,299286.05,40117.87,69381.43,144961.45,,,
"San Diego",Weekly,"2022-01-10 00:00:00",Organic,2.029083914,25041.90,13536.40,2076.87,1.42,9427.21,,,
"San Francisco",Weekly,"2022-01-10 00:00:00",Conventional,1.239033508,899059.36,182024.44,573568.05,14034.79,129432.08,,,
"San Francisco",Weekly,"2022-01-10 00:00:00",Organic,2.018043146,61541.28,16347.19,7570.31,2.70,37621.08,,,
Seattle,Weekly,"2022-01-10 00:00:00",Conventional,1.437268897,625725.54,298529.90,225639.07,3516.18,98040.38,,,
Seattle,Weekly,"2022-01-10 00:00:00",Organic,2.285786178,63540.25,43331.04,11498.28,0.00,8710.93,,,
"South Carolina",Weekly,"2022-01-10 00:00:00",Conventional,1.180084583,519396.54,281651.68,86268.18,2763.56,148713.12,,,
"South Carolina",Weekly,"2022-01-10 00:00:00",Organic,1.400773883,41307.85,4593.58,4846.86,46.63,31820.77,,,
"South Central",Weekly,"2022-01-10 00:00:00",Conventional,1.000320468,4798807.15,2232069.26,999145.93,85741.48,1480504.74,,,
"South Central",Weekly,"2022-01-10 00:00:00",Organic,1.432042661,156544.34,41160.74,4776.32,0.00,110607.28,,,
Southeast,Weekly,"2022-01-10 00:00:00",Conventional,1.207685855,4870510.07,3185861.75,440454.88,30941.55,1213249.61,,,
Southeast,Weekly,"2022-01-10 00:00:00",Organic,1.065603236,571644.77,86614.68,26344.73,50.21,458635.14,,,
Spokane,Weekly,"2022-01-10 00:00:00",Conventional,1.259000155,87370.76,45138.06,25445.07,30.83,16756.80,,,
Spokane,Weekly,"2022-01-10 00:00:00",Organic,2.333946690,4643.50,2390.00,1074.22,0.00,1179.28,,,
"St. Louis",Weekly,"2022-01-10 00:00:00",Conventional,1.084580959,211721.07,132499.45,15227.20,1521.97,62472.46,,,
"St. Louis",Weekly,"2022-01-10 00:00:00",Organic,1.518535452,11187.62,3857.95,2964.55,0.00,4365.11,,,
Syracuse,Weekly,"2022-01-10 00:00:00",Conventional,1.317840690,85636.44,20266.52,29563.98,385.72,35420.22,,,
Syracuse,Weekly,"2022-01-10 00:00:00",Organic,1.625936003,4865.85,337.98,98.88,0.00,4428.99,,,
Tampa,Weekly,"2022-01-10 00:00:00",Conventional,1.193863666,515393.92,379424.15,16616.30,3363.05,115990.41,,,
Tampa,Weekly,"2022-01-10 00:00:00",Organic,0.898474064,90515.27,9976.12,151.20,0.00,80387.95,,,
Toledo,Weekly,"2022-01-10 00:00:00",Conventional,0.878487288,157119.58,113589.51,14527.28,5120.19,23882.60,,,
Toledo,Weekly,"2022-01-10 00:00:00",Organic,1.556316850,4198.83,500.50,1417.82,0.00,2280.51,,,
"Total U.S.",Weekly,"2022-01-10 00:00:00",Conventional,1.179690100,38291643.85,18035242.48,8869770.65,1233794.28,10150894.61,,,
"Total U.S.",Weekly,"2022-01-10 00:00:00",Organic,1.526284481,2230029.54,552614.28,253680.97,416.46,1423317.83,,,
West,Weekly,"2022-01-10 00:00:00",Conventional,1.137545511,6877577.38,3201861.67,1948820.47,163280.80,1563336.69,,,
West,Weekly,"2022-01-10 00:00:00",Organic,1.783048124,396797.82,240455.30,50211.15,187.53,105943.84,,,
"West Tex/New Mexico",Weekly,"2022-01-10 00:00:00",Conventional,1.029012484,825302.76,325814.52,145208.64,9776.82,343855.31,,,
"West Tex/New Mexico",Weekly,"2022-01-10 00:00:00",Organic,1.155773237,41913.90,11161.81,623.68,0.00,30128.40,,,
Wichita,Weekly,"2022-01-10 00:00:00",Conventional,1.067808783,90746.30,43860.83,22089.80,671.02,24064.44,,,
Wichita,Weekly,"2022-01-10 00:00:00",Organic,1.600771955,3185.72,2047.96,19.51,0.00,1118.25,,,
Albany,Weekly,"2022-01-16 00:00:00",Conventional,1.204902481,130741.90,38939.25,62872.35,940.30,27990.00,,,
Albany,Weekly,"2022-01-16 00:00:00",Organic,1.690633688,3938.88,337.49,417.99,0.00,3183.40,,,
Atlanta,Weekly,"2022-01-16 00:00:00",Conventional,1.208290351,896987.66,562295.55,181016.04,3429.19,150246.87,,,
Atlanta,Weekly,"2022-01-16 00:00:00",Organic,1.654234622,35340.38,3710.59,18025.48,0.00,13604.31,,,
Baltimore/Washington,Weekly,"2022-01-16 00:00:00",Conventional,1.425393782,972459.61,299146.60,232840.88,9158.27,431313.86,,,
Baltimore/Washington,Weekly,"2022-01-16 00:00:00",Organic,1.691309235,61574.46,870.85,8564.07,2.30,52137.25,,,
Birmingham/Montgomery,Weekly,"2022-01-16 00:00:00",Conventional,1.165446119,331478.75,208216.68,32437.17,2621.62,88203.28,,,
Birmingham/Montgomery,Weekly,"2022-01-16 00:00:00",Organic,1.507236729,13875.96,1709.77,1179.63,0.00,10986.56,,,
Boise,Weekly,"2022-01-16 00:00:00",Conventional,1.454586407,113499.53,53711.54,18810.08,9299.44,31678.47,,,
Boise,Weekly,"2022-01-16 00:00:00",Organic,2.315289627,5775.53,1603.83,2051.17,0.00,2120.53,,,
Boston,Weekly,"2022-01-16 00:00:00",Conventional,1.363960148,714982.02,226577.39,326616.21,3120.80,158667.63,,,
Boston,Weekly,"2022-01-16 00:00:00",Organic,1.831648806,33329.48,414.79,2625.81,0.00,30288.88,,,
