Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Albany,Weekly,"2020-01-13 00:00:00",Conventional,1.227608880,116738.30,4019.89,96152.64,205.88,16359.88,,,
Albany,Weekly,"2020-01-13 00:00:00",Organic,1.814664013,1760.97,185.96,175.80,0.00,1399.22,,,
Atlanta,Weekly,"2020-01-13 00:00:00",Conventional,0.924120831,756197.83,551153.18,94886.96,2526.53,107631.15,,,
Atlanta,Weekly,"2020-01-13 00:00:00",Organic,1.422904674,29562.69,11106.05,10932.16,0.00,7524.48,,,
Baltimore/Washington,Weekly,"2020-01-13 00:00:00",Conventional,1.337479669,827296.41,95768.26,450660.70,4451.67,276413.89,,,
Baltimore/Washington,Weekly,"2020-01-13 00:00:00",Organic,1.526074120,49146.75,591.49,6223.36,16.05,42314.91,,,
Birmingham/Montgomery,Weekly,"2020-01-13 00:00:00",Conventional,0.905432908,327373.83,253638.49,14608.57,1845.83,57280.94,,,
Birmingham/Montgomery,Weekly,"2020-01-13 00:00:00",Organic,1.333146695,7969.99,604.86,897.28,0.00,6467.85,,,
Boise,Weekly,"2020-01-13 00:00:00",Conventional,1.077148612,126614.63,64125.41,35761.22,11233.20,15494.81,,,
Boise,Weekly,"2020-01-13 00:00:00",Organic,1.682162085,3657.43,575.79,1934.87,1.21,1145.55,,,
Boston,Weekly,"2020-01-13 00:00:00",Conventional,1.386582955,576710.02,32814.04,414621.48,1305.03,127969.48,,,
Boston,Weekly,"2020-01-13 00:00:00",Organic,1.571529000,26206.89,168.55,2716.57,0.00,23321.76,,,
Buffalo/Rochester,Weekly,"2020-01-13 00:00:00",Conventional,1.052076185,191259.77,9558.33,67283.34,325.74,114092.36,,,
Buffalo/Rochester,Weekly,"2020-01-13 00:00:00",Organic,1.309457071,12294.92,525.34,151.73,0.00,11617.84,,,
California,Weekly,"2020-01-13 00:00:00",Conventional,1.176773430,5845610.54,2562709.34,1873151.37,632035.53,777695.41,,,
California,Weekly,"2020-01-13 00:00:00",Organic,1.876449464,240032.48,101137.62,69623.63,27.86,69236.75,,,
Charlotte,Weekly,"2020-01-13 00:00:00",Conventional,1.164419347,298532.84,137448.33,64122.78,2470.27,94491.46,,,
Charlotte,Weekly,"2020-01-13 00:00:00",Organic,1.671398060,13063.66,2306.05,4362.35,61.58,6333.68,,,
Chicago,Weekly,"2020-01-13 00:00:00",Conventional,1.468631524,643065.43,147863.45,263663.62,116462.00,115076.37,,,
Chicago,Weekly,"2020-01-13 00:00:00",Organic,1.643082625,85053.62,4454.77,71281.95,0.00,9315.96,,,
Cincinnati/Dayton,Weekly,"2020-01-13 00:00:00",Conventional,0.820248267,348530.86,245063.72,47948.56,29431.86,26086.72,,,
Cincinnati/Dayton,Weekly,"2020-01-13 00:00:00",Organic,1.307102751,18524.21,7467.77,8932.86,0.00,2123.57,,,
Columbus,Weekly,"2020-01-13 00:00:00",Conventional,0.778079074,274585.63,212810.09,27660.65,6161.54,27953.36,,,
Columbus,Weekly,"2020-01-13 00:00:00",Organic,1.668057299,11809.15,6017.36,3514.01,0.00,2277.79,,,
"Dallas/Ft. Worth",Weekly,"2020-01-13 00:00:00",Conventional,0.724451592,1597283.48,906581.02,430312.34,9683.35,250704.88,,,
"Dallas/Ft. Worth",Weekly,"2020-01-13 00:00:00",Organic,1.418512709,32385.59,9266.42,3164.73,316.79,19637.66,,,
Denver,Weekly,"2020-01-13 00:00:00",Conventional,1.134172268,767270.78,297717.23,280913.82,18196.65,170442.13,,,
Denver,Weekly,"2020-01-13 00:00:00",Organic,1.116417110,156818.59,122247.29,28762.02,6.43,5801.91,,,
Detroit,Weekly,"2020-01-13 00:00:00",Conventional,0.871948697,541726.08,322560.25,95613.75,50910.65,72641.43,,,
Detroit,Weekly,"2020-01-13 00:00:00",Organic,1.655608347,24591.02,11264.88,6072.52,0.00,7253.63,,,
"Grand Rapids",Weekly,"2020-01-13 00:00:00",Conventional,1.524959933,155636.81,6921.38,63130.50,49364.00,36220.93,,,
"Grand Rapids",Weekly,"2020-01-13 00:00:00",Organic,1.561919237,5506.89,32.53,1382.20,0.00,4092.15,,,
"Great Lakes",Weekly,"2020-01-13 00:00:00",Conventional,1.031688694,3925451.30,1876359.62,1080127.49,363706.80,605256.45,,,
"Great Lakes",Weekly,"2020-01-13 00:00:00",Organic,1.622253479,205844.80,43318.66,110497.79,33.44,51993.03,,,
Harrisburg/Scranton,Weekly,"2020-01-13 00:00:00",Conventional,1.063728092,332729.07,54112.12,171661.22,527.82,106427.92,,,
Harrisburg/Scranton,Weekly,"2020-01-13 00:00:00",Organic,1.134208858,17499.05,688.69,257.94,0.00,16552.42,,,
Hartford/Springfield,Weekly,"2020-01-13 00:00:00",Conventional,1.503836209,297353.33,8544.84,225734.65,650.40,62423.43,,,
Hartford/Springfield,Weekly,"2020-01-13 00:00:00",Organic,1.760464188,16306.09,732.94,5988.56,0.00,9584.59,,,
Houston,Weekly,"2020-01-13 00:00:00",Conventional,0.624600739,1450462.87,996316.04,323160.04,1199.94,129786.86,,,
Houston,Weekly,"2020-01-13 00:00:00",Organic,1.630335999,12902.20,11327.23,649.79,0.00,925.18,,,
Indianapolis,Weekly,"2020-01-13 00:00:00",Conventional,0.835302581,289514.11,194860.92,45526.09,11497.78,37629.31,,,
Indianapolis,Weekly,"2020-01-13 00:00:00",Organic,1.545953760,7042.67,3005.76,1576.09,0.00,2459.88,,,
Jacksonville,Weekly,"2020-01-13 00:00:00",Conventional,0.912207688,243489.72,189865.30,8754.56,986.66,43883.20,,,
Jacksonville,Weekly,"2020-01-13 00:00:00",Organic,1.238938758,8890.52,62.20,156.98,0.00,8671.34,,,
